LGA_Arrival,Departure,travel_time_seconds
2018-12-14 21:59:48.639,2018-12-14 21:45:46.909,842
2018-12-14 22:08:30.516,2018-12-14 21:54:26.780,844
2018-12-14 22:38:07.979,2018-12-14 22:21:04.504,1023
2018-12-14 22:32:31.362,2018-12-14 22:10:41.988,1309
2018-12-14 22:27:13.978,2018-12-14 22:11:05.936,968
2018-12-14 22:22:59.232,2018-12-14 22:13:03.700,596
2018-12-14 23:43:38.848,2018-12-14 22:50:42.136,3177
2018-12-14 23:13:32.391,2018-12-14 22:52:10.544,1282
2018-12-14 23:21:52.383,2018-12-14 22:56:38.912,1513
2018-12-14 23:33:02.983,2018-12-14 23:08:14.591,1488
2018-12-14 23:37:10.778,2018-12-14 23:11:40.971,1530
2018-12-14 23:42:32.457,2018-12-14 23:22:38.606,1194
2018-12-14 23:56:10.924,2018-12-14 23:36:09.208,1202
2018-12-15 00:01:28.256,2018-12-14 23:56:10.924,317
2018-12-15 00:11:17.630,2018-12-14 23:58:44.118,754
2018-12-10 19:18:44.251,2018-12-10 19:05:45.622,779
2018-12-10 19:30:05.925,2018-12-10 19:11:10.519,1135
2018-12-10 19:35:49.645,2018-12-10 19:17:34.100,1096
2018-12-10 19:45:16.895,2018-12-10 19:29:22.755,954
2018-12-10 19:46:04.760,2018-12-10 19:33:52.708,732
2018-12-10 19:52:28.543,2018-12-10 19:40:26.945,722
2018-12-10 20:01:13.909,2018-12-10 19:49:59.056,675
2018-12-10 20:13:20.515,2018-12-10 19:58:59.764,861
2018-12-10 20:29:43.256,2018-12-10 20:07:43.672,1320
2018-12-10 20:28:19.878,2018-12-10 20:13:46.112,874
2018-12-10 20:34:18.431,2018-12-10 20:21:43.908,755
2018-12-10 20:44:20.884,2018-12-10 20:34:38.832,582
2018-12-10 20:58:35.337,2018-12-10 20:45:52.943,762
2018-12-10 20:52:12.757,2018-12-10 20:37:36.735,876
2018-12-10 21:03:57.673,2018-12-10 20:54:06.588,591
2018-12-11 19:16:28.106,2018-12-11 19:03:16.094,792
2018-12-11 19:22:11.868,2018-12-11 19:09:16.752,775
2018-12-11 19:32:31.765,2018-12-11 19:16:50.093,942
2018-12-11 19:41:27.684,2018-12-11 19:25:13.423,974
2018-12-11 19:50:41.107,2018-12-11 19:34:00.312,1001
2018-12-11 20:03:09.433,2018-12-11 19:49:56.353,793
2018-12-11 19:55:29.900,2018-12-11 19:42:13.176,797
2018-12-11 20:12:46.696,2018-12-11 20:00:07.908,759
2018-12-11 20:21:51.029,2018-12-11 20:08:06.352,825
2018-12-11 20:27:57.931,2018-12-11 20:14:18.539,819
2018-12-11 20:36:48.741,2018-12-11 20:21:51.029,898
2018-12-11 20:42:59.240,2018-12-11 20:30:14.288,765
2018-12-11 20:52:09.795,2018-12-11 20:37:32.197,878
2018-12-11 20:59:24.568,2018-12-11 20:42:09.626,1035
2018-12-11 21:00:08.223,2018-12-11 20:54:00.613,368
